山西电信组播,#genre#
CCTV-10科教,http://118.79.12.65:6001/rtp/226.0.1.166:3099
CCTV-10科教,http://171.116.216.113:10010/rtp/226.0.1.166:3099
CCTV-10科教,http://118.79.12.65:6001/rtp/226.0.2.162:9208
CCTV-10科教,http://116.179.149.157:6001/rtp/226.0.2.162:9208
CCTV-10科教,http://171.118.222.23:8082/rtp/226.0.1.166:3099
CCTV-10科教,http://183.185.71.109:8082/rtp/226.0.1.166:3099
CCTV-10科教,http://118.79.12.65:6000/rtp/226.0.1.166:3099
CCTV-10科教,http://61.134.253.35:8001/rtp/226.0.1.166:3099
CCTV-10科教,http://118.79.12.65:6000/rtp/226.0.2.162:9208
CCTV-10科教,http://118.79.12.70:6000/rtp/226.0.2.162:9208
CCTV-10科教,http://118.79.12.70:6000/rtp/226.0.1.166:3099
CCTV-10科教,http://118.79.12.62:6000/rtp/226.0.2.162:9208
CCTV-10科教,http://118.79.12.62:6000/rtp/226.0.1.166:3099
CCTV-10科教,http://118.79.12.62:6001/rtp/226.0.2.162:9208
CCTV-10科教,http://60.223.72.25:8001/rtp/226.0.1.166:3099
CCTV-10科教,http://118.79.12.70:6001/rtp/226.0.1.166:3099
CCTV-10科教,http://61.134.253.35:8003/rtp/226.0.1.166:3099
CCTV-10科教,http://60.223.72.127:8001/rtp/226.0.1.166:3099
CCTV-12社会与法,http://118.79.12.62:6000/rtp/226.0.1.168:3100
CCTV-12社会与法,http://116.179.149.157:6001/rtp/226.0.2.164:9224
CCTV-12社会与法,http://183.185.71.109:8082/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.65:6001/rtp/226.0.2.164:9224
CCTV-12社会与法,http://118.79.12.70:6001/rtp/226.0.2.164:9224
CCTV-12社会与法,http://116.179.149.157:6000/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.62:6000/rtp/226.0.2.164:9224
CCTV-12社会与法,http://118.79.12.62:6001/rtp/226.0.2.164:9224
CCTV-12社会与法,http://61.134.253.35:8003/rtp/226.0.1.168:3100
CCTV-12社会与法,http://116.179.149.157:6000/rtp/226.0.2.164:9224
CCTV-12社会与法,http://171.116.216.113:10010/rtp/226.0.1.168:3100
CCTV-12社会与法,http://171.118.222.23:8082/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.65:6000/rtp/226.0.2.164:9224
CCTV-12社会与法,http://60.223.72.25:8003/rtp/226.0.1.168:3100
CCTV-12社会与法,http://60.223.72.25:8001/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.65:6000/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.70:6001/rtp/226.0.1.168:3100
CCTV-12社会与法,http://61.134.253.35:8001/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.70:6000/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.62:6001/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.65:6001/rtp/226.0.1.168:3100
CCTV-12社会与法,http://118.79.12.70:6000/rtp/226.0.2.164:9224
CCTV-12社会与法,http://60.223.72.127:8001/rtp/226.0.1.168:3100
CCTV-13新闻,http://118.79.12.62:6000/rtp/226.0.2.165:9232
CCTV-13新闻,http://61.134.253.35:8001/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.62:6001/rtp/226.0.2.165:9232
CCTV-13新闻,http://60.223.72.135:8003/rtp/226.0.1.98:2028
CCTV-13新闻,http://183.185.71.109:8082/rtp/226.0.1.98:2028
CCTV-13新闻,http://60.223.72.25:8001/rtp/226.0.1.98:2028
CCTV-13新闻,http://61.134.253.35:8003/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.65:6001/rtp/226.0.1.98:2028
CCTV-13新闻,http://116.179.149.157:6000/rtp/226.0.1.98:2028
CCTV-13新闻,http://171.116.216.113:10010/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.62:6000/rtp/226.0.1.98:2028
CCTV-13新闻,http://116.179.149.157:6001/rtp/226.0.2.165:9232
CCTV-13新闻,http://118.79.12.62:6001/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.70:6000/rtp/226.0.2.165:9232
CCTV-13新闻,http://118.79.12.65:6000/rtp/226.0.2.165:9232
CCTV-13新闻,http://60.223.72.127:8001/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.70:6000/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.65:6000/rtp/226.0.1.98:2028
CCTV-13新闻,http://118.79.12.70:6001/rtp/226.0.1.98:2028
CCTV-13新闻,http://171.118.222.23:8082/rtp/226.0.1.98:2028
